China,"{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Vietnam,"{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Poland,"{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Hungary, Poland}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Germany, Poland, Hungary}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Haiti,"{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Philippines,"{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines, India}","{Philippines, India}","{Philippines, India}","{Philippines, India}","{Philippines, India}","{Philippines, India}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
South,"{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, Dominican-Republic, United-States}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{South, United-States, Columbia, Canada, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Jamaica,"{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Peru,"{Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Guatemala, Ecuador, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Puerto-Rico, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{Jamaica, Mexico, Guatemala, El-Salvador, Cuba, Ecuador, Puerto-Rico, Haiti, Peru}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Greece,"{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{France, Italy, Greece}","{France, Italy, Greece}","{Italy, France, Portugal, Greece}","{Italy, France, Portugal, Greece}","{Italy, France, Portugal, Greece}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Japan,"{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{China, Japan}","{China, Japan}","{China, Japan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Iran,"{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Hungary, Italy, Germany, Poland, Greece, France, Portugal, Iran}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Taiwan,"{Taiwan}","{Taiwan}","{Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{Hong, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{China, Hong, Japan, Taiwan}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
India,"{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{Philippines, India}","{Philippines, India}","{Philippines, India}","{Philippines, India}","{Philippines, India}","{Philippines, India}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{India, Taiwan, Hong, Japan, China, Philippines}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{Thailand, Taiwan, India, Hong, Japan, Cambodia, China, Philippines, Vietnam}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Ireland,"{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{England, Ireland}","{England, Ireland}","{England, Ireland}","{England, Ireland}","{England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, South, United-States, Columbia, Ireland, Canada, England, Dominican-Republic}","{Scotland, Hungary, South, Italy, Germany, Poland, United-States, Greece, Columbia, Portugal, Ireland, Canada, France, Iran, England, Dominican-Republic}","{India, Hong, Cambodia, France, Canada, Thailand, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Vietnam, England, Dominican-Republic}","{India, England, Hong, Cambodia, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Guatemala, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
