China,"{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{China}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Vietnam,"{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam}","{Vietnam, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Poland,"{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Haiti,"{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Philippines,"{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines, Ireland}","{Philippines, Ireland}","{Philippines, Ireland}","{Philippines, Ireland}","{Philippines, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
South,"{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{South, Outlying-US(Guam-USVI-etc), Hong, United-States, Laos, El-Salvador, Holand-Netherlands, China, Puerto-Rico, Dominican-Republic}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Jamaica,"{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Peru,"{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Cuba, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Greece,"{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Italy, England, Portugal, Greece}","{Scotland, Italy, Greece, Portugal, England}","{Scotland, Italy, Greece, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Japan,"{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Thailand, Japan}","{Thailand, Japan}","{Vietnam, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Iran,"{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Vietnam, Iran, Thailand, Japan}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Thailand, Japan, Columbia, Vietnam, Iran}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Japan, Columbia, Cuba, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Taiwan,"{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Ecuador, Taiwan}","{Ecuador, Taiwan}","{Ecuador, Taiwan}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
India,"{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India}","{India, Canada}","{India, Canada}","{India, Canada}","{India, Canada}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Canada, Mexico}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Ireland,"{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Philippines, Ireland}","{Philippines, Ireland}","{Philippines, Ireland}","{Philippines, Ireland}","{Philippines, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Mexico, Philippines, Canada, Ireland}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{India, Taiwan, Mexico, Philippines, Ireland, Canada, Ecuador}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{Jamaica, Thailand, Taiwan, India, Mexico, Japan, Philippines, Columbia, Ireland, Canada, Cuba, Ecuador, Vietnam, Iran, Haiti, Peru}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Germany,"{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Germany, Poland, France, Hungary}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Portugal, England}","{India, England, France, Canada, Ecuador, Peru, Thailand, Italy, Mexico, Columbia, Hungary, Poland, Iran, Scotland, Jamaica, Taiwan, Germany, Japan, Greece, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti}","{India, England, Hong, France, Canada, Ecuador, Puerto-Rico, Peru, Thailand, Italy, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Columbia, Hungary, Poland, El-Salvador, Iran, Scotland, Jamaica, South, Taiwan, Germany, United-States, Japan, Greece, China, Philippines, Portugal, Ireland, Cuba, Vietnam, Haiti, Dominican-Republic}",*
