Holand-Netherlands,"{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands}","{Holand-Netherlands, Trinadad&Tobago}","{Holand-Netherlands, Trinadad&Tobago}","{Holand-Netherlands, Trinadad&Tobago}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
United-States,"{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Canada, India, Ireland, Scotland}","{England, United-States, Columbia, Canada, South, India, Ireland, Scotland}","{England, United-States, ?, Columbia, Canada, South, India, Ireland, Scotland}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Laos,"{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos, Vietnam, Cambodia}","{Laos, Vietnam, Cambodia}","{Laos, Vietnam, Cambodia}","{Laos, Vietnam, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Poland,"{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Poland, Iran, Hungary}","{Yugoslavia, Poland, Iran, Hungary}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
France,"{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France}","{Italy, Germany, France, Japan}","{Italy, Germany, France, Japan}","{Italy, Germany, France, Japan}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{England, United-States, ?, Columbia, Canada, South, India, Ireland, Scotland}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
Cuba,"{Cuba}","{Haiti, Cuba}","{Haiti, Cuba}","{Haiti, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Haiti, Dominican-Republic, Jamaica, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Philippines, Haiti, Jamaica, Dominican-Republic, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Laos, Vietnam, Thailand, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Taiwan, Hong, Thailand, China, Laos, Vietnam, Cambodia}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Peru, Mexico, Ecuador}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, Mexico, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Honduras, Philippines, Peru, Guatemala, Mexico, Haiti, Jamaica, El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Cuba}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Trinadad&Tobago,"{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Holand-Netherlands, Trinadad&Tobago}","{Holand-Netherlands, Trinadad&Tobago}","{Holand-Netherlands, Trinadad&Tobago}","{Puerto-Rico, Cambodia, Ecuador, Holand-Netherlands, Guatemala, Dominican-Republic, Nicaragua, Taiwan, Thailand, China, Mexico, Laos, Haiti, Jamaica, Cuba, Honduras, Philippines, Peru, Hong, Vietnam, Outlying-US(Guam-USVI-etc), El-Salvador, Trinadad&Tobago}",*
Greece,"{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Japan, Portugal, Greece, Germany}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{Italy, France, Iran, Poland, Hungary, Japan, Portugal, Greece, Germany, Yugoslavia}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}","{France, Columbia, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Iran, England, Portugal, Ireland, United-States, Japan, ?, Canada, South}",*
