?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Vietnam,"{Vietnam}","{Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Poland,"{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Haiti,"{Haiti}","{Haiti, Cuba}","{Haiti, Cuba}","{Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Philippines,"{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Puerto-Rico, Philippines}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
South,"{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South, Columbia}","{South, Columbia}","{Scotland, South, India, United-States, Columbia, Ireland, Canada, England}","{Scotland, South, India, ?, United-States, Columbia, Ireland, Canada, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Jamaica,"{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Haiti, Dominican-Republic, Cuba}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Philippines, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Peru,"{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Ecuador, Peru, Mexico}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Mexico, Guatemala, El-Salvador, Ecuador, Honduras, Nicaragua, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, Nicaragua, Mexico, Guatemala, El-Salvador, Philippines, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
Greece,"{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Portugal, Greece}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Japan,"{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Germany, Italy, France, Japan}","{Germany, Italy, France, Japan}","{Germany, Italy, France, Japan}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Italy, Germany, Japan, Greece, France, Portugal}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Iran,"{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Iran}","{Hungary, Poland, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{Hungary, Italy, Germany, Poland, Japan, Greece, France, Portugal, Yugoslavia, Iran}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}","{India, ?, France, Canada, Italy, Columbia, Hungary, Poland, Iran, Scotland, South, Germany, United-States, Japan, Greece, Yugoslavia, Portugal, Ireland, England}",*
Taiwan,"{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{China, Hong, Taiwan}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Thailand, Taiwan, Hong, Laos, Cambodia, China, Vietnam}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Nicaragua, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}","{Hong, Cambodia, Ecuador, Puerto-Rico, Peru, Thailand, Outlying-US(Guam-USVI-etc), Mexico, Laos, Holand-Netherlands, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, Taiwan, Guatemala, China, Philippines, Cuba, Vietnam, Haiti, Dominican-Republic}",*
