Iran,"{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, China, Japan}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, Philippines, United-States, Thailand, China, Japan, Mexico, Laos, Canada, Cambodia, Vietnam, India}","{Taiwan, Iran, Philippines, Hong, United-States, Thailand, China, Japan, ?, Columbia, Mexico, Laos, Canada, Cambodia, Vietnam, South, India, Cuba}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
United-States,"{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{United-States}","{Canada, United-States}","{Canada, United-States}","{Canada, United-States}","{Canada, United-States}","{Canada, United-States}","{Canada, United-States}","{Canada, United-States}","{Canada, United-States}","{Canada, United-States}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, Philippines, United-States, Thailand, China, Japan, Mexico, Laos, Canada, Cambodia, Vietnam, India}","{Taiwan, Iran, Philippines, Hong, United-States, Thailand, China, Japan, ?, Columbia, Mexico, Laos, Canada, Cambodia, Vietnam, South, India, Cuba}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Laos,"{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Laos}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Taiwan, Iran, Philippines, United-States, Thailand, China, Japan, Mexico, Laos, Canada, Cambodia, Vietnam, India}","{Taiwan, Iran, Philippines, Hong, United-States, Thailand, China, Japan, ?, Columbia, Mexico, Laos, Canada, Cambodia, Vietnam, South, India, Cuba}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Poland,"{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Portugal, Poland}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Dominican-Republic,"{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
France,"{France}","{France}","{France}","{France}","{France}","{France}","{France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{Germany, France}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{France, England, Germany, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{Hong, South, ?}","{Hong, South, ?}","{Hong, South, ?}","{Hong, South, ?}","{Hong, South, ?}","{Hong, ?, Columbia, South, Cuba}","{Hong, ?, Columbia, South, Cuba}","{Hong, ?, Columbia, South, Cuba}","{Taiwan, Iran, Philippines, Hong, United-States, Thailand, China, Japan, ?, Columbia, Mexico, Laos, Canada, Cambodia, Vietnam, South, India, Cuba}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Cuba,"{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Columbia, Cuba}","{Hong, ?, Columbia, South, Cuba}","{Hong, ?, Columbia, South, Cuba}","{Hong, ?, Columbia, South, Cuba}","{Taiwan, Iran, Philippines, Hong, United-States, Thailand, China, Japan, ?, Columbia, Mexico, Laos, Canada, Cambodia, Vietnam, South, India, Cuba}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Thailand,"{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Thailand, Philippines}","{Vietnam, Thailand, Cambodia, Philippines}","{Vietnam, Thailand, Cambodia, Philippines}","{Vietnam, Thailand, Cambodia, Philippines}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Philippines, Thailand, Laos, Vietnam, Cambodia}","{Taiwan, Iran, Philippines, United-States, Thailand, China, Japan, Mexico, Laos, Canada, Cambodia, Vietnam, India}","{Taiwan, Iran, Philippines, Hong, United-States, Thailand, China, Japan, ?, Columbia, Mexico, Laos, Canada, Cambodia, Vietnam, South, India, Cuba}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Mexico,"{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico}","{Mexico, India}","{Mexico, India}","{Mexico, India}","{Mexico, India}","{Mexico, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Mexico, Canada, United-States, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, United-States, China, Japan, Mexico, Canada, India}","{Taiwan, Iran, Philippines, United-States, Thailand, China, Japan, Mexico, Laos, Canada, Cambodia, Vietnam, India}","{Taiwan, Iran, Philippines, Hong, United-States, Thailand, China, Japan, ?, Columbia, Mexico, Laos, Canada, Cambodia, Vietnam, South, India, Cuba}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Trinadad&Tobago,"{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Dominican-Republic, Jamaica, Haiti, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), Dominican-Republic, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
Greece,"{Greece}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Greece, Hungary}","{Yugoslavia, Greece, Hungary}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, Poland, Hungary, Portugal, Greece, Holand-Netherlands, Yugoslavia}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{Italy, France, Poland, England, Hungary, Portugal, Greece, Holand-Netherlands, Germany, Yugoslavia, Ireland, Scotland}","{France, Columbia, Cambodia, Holand-Netherlands, Yugoslavia, Poland, Hungary, Greece, Germany, India, Scotland, Italy, Taiwan, Iran, England, Thailand, China, Mexico, Laos, Portugal, Ireland, Cuba, Philippines, Hong, United-States, Japan, ?, Canada, Vietnam, South}",*
Honduras,"{Honduras}","{Honduras}","{Nicaragua, Honduras}","{Nicaragua, Honduras}","{Nicaragua, Honduras}","{Nicaragua, Honduras}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Nicaragua, Honduras, Guatemala}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Guatemala, Nicaragua, Honduras, El-Salvador}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
Peru,"{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Peru, Ecuador}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Honduras, Peru, Guatemala, El-Salvador, Ecuador, Nicaragua}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}","{Puerto-Rico, Honduras, Peru, Guatemala, Haiti, Jamaica, Outlying-US(Guam-USVI-etc), El-Salvador, Ecuador, Dominican-Republic, Nicaragua, Trinadad&Tobago}",*
