?,"{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Holand-Netherlands}","{?, Hong, Holand-Netherlands}","{?, Hong, Holand-Netherlands}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Holand-Netherlands, Outlying-US(Guam-USVI-etc)}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Vietnam,"{Vietnam, Thailand}","{Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Cambodia, Vietnam, Laos, Thailand}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Poland,"{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland}","{Poland, Portugal}","{Poland, Portugal}","{Poland, Portugal}","{Hungary, Poland, Portugal}","{Hungary, Poland, Portugal}","{Hungary, Poland, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Hungary, Poland, Yugoslavia, Portugal}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Haiti,"{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Philippines,"{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Philippines}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Laos, Cambodia, Philippines, Vietnam}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
South,"{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South}","{South, Columbia}","{South, Columbia}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Jamaica,"{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Haiti, Cuba}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Cuba, Puerto-Rico, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, Trinadad&Tobago, Nicaragua, Guatemala, El-Salvador, Cuba, Puerto-Rico, Honduras, Haiti, Dominican-Republic}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Peru,"{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{Mexico, United-States, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{South, Mexico, United-States, Columbia, Canada, Ecuador, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{Jamaica, South, Trinadad&Tobago, Nicaragua, Mexico, Guatemala, United-States, El-Salvador, Columbia, Canada, Cuba, Ecuador, Puerto-Rico, Honduras, Haiti, Dominican-Republic, Peru}","{?, Hong, Canada, Ecuador, Puerto-Rico, Peru, Outlying-US(Guam-USVI-etc), Mexico, Holand-Netherlands, Columbia, Nicaragua, Trinadad&Tobago, El-Salvador, Honduras, Jamaica, South, Guatemala, United-States, Cuba, Haiti, Dominican-Republic}",*
Greece,"{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Germany, France, Italy, Greece}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Japan,"{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{Japan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Iran,"{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Taiwan,"{Taiwan}","{Taiwan}","{Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{China, Japan, Taiwan}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
India,"{India}","{India}","{India}","{India}","{India}","{India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{Iran, India}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{India, Taiwan, Japan, China, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{Thailand, Taiwan, India, Laos, Japan, Cambodia, China, Philippines, Vietnam, Iran}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
Ireland,"{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, England, Ireland}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Italy, Germany, Greece, France, Ireland, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{Scotland, Hungary, Italy, Germany, Poland, Greece, France, Ireland, Portugal, Yugoslavia, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}","{India, Cambodia, France, Thailand, Italy, Laos, Hungary, Poland, Iran, Scotland, Taiwan, Germany, Japan, Greece, China, Philippines, Yugoslavia, Portugal, Ireland, Vietnam, England}",*
